personid,year_week,experiment_time,treatment,phonecalls
12896,201003,0,0,NA
36314,201003,0,0,0.533
28560,201003,0,0,NA
39144,201003,0,0,0.465
8522,201003,0,0,NA
33278,201003,0,0,0.431
32320,201003,0,0,0.51
14384,201003,0,0,NA
26906,201003,0,0,NA
16334,201003,0,0,0.166
25864,201003,0,0,0.739
19470,201003,0,0,0.394
7068,201003,0,0,NA
38046,201003,0,0,NA
38074,201003,0,0,NA
37276,201003,0,0,0.646
37828,201003,0,0,NA
23742,201003,0,0,NA
37292,201003,0,0,0.508
23126,201003,0,0,NA
7488,201003,0,1,NA
26328,201003,0,1,NA
4122,201003,0,1,0.649
39096,201003,0,1,0.72
29808,201003,0,1,NA
17906,201003,0,1,0.514
38042,201003,0,1,NA
25638,201003,0,1,0.412
14678,201003,0,1,NA
28470,201003,0,1,NA
24142,201003,0,1,NA
40192,201003,0,1,0.325
17752,201003,0,1,NA
10356,201003,0,1,0.825
38040,201003,0,1,NA
32590,201003,0,1,NA
25520,201003,0,1,0.426
19482,201003,0,1,NA
29230,201003,0,1,0.612
37840,201003,0,1,NA
15294,201003,0,1,NA
39512,201003,0,1,NA
25940,201003,0,1,NA
10226,201003,0,1,NA
40444,201003,0,1,NA
5614,201003,0,1,NA
40316,201003,0,1,0.472
10794,201003,0,1,NA
35344,201003,0,1,0.547
38022,201003,0,1,NA
38898,201003,0,1,0.509
30972,201003,0,1,NA
41320,201003,0,1,0.489
31796,201003,0,1,NA
36032,201003,0,1,0.293
40472,201003,0,1,0.61
11868,201003,0,1,NA
42308,201003,0,1,0.095
33350,201003,0,1,0.447
30006,201003,0,1,NA
40062,201003,0,1,0.586
16596,201003,0,1,0.616
29216,201003,0,1,NA
16514,201003,0,1,0.508
38878,201003,0,1,0.468
41318,201003,0,1,NA
40320,201003,0,1,NA
14532,201003,0,1,NA
40164,201003,0,1,NA
21710,201003,0,1,NA
38070,201003,0,1,NA
17722,201003,0,1,NA
4942,201003,0,1,NA
37804,201003,0,1,NA
36494,201003,0,1,0.33
24324,201003,0,1,0.366
23622,201003,0,1,NA
31292,201003,0,1,0.59
30448,201003,0,1,NA
36306,201003,0,1,NA
38580,201003,0,1,0.663
10822,201003,0,1,NA
38018,201003,0,1,NA
23136,201003,0,1,0.569
12974,201003,0,1,0.683
38290,201003,0,1,0.468
37784,201003,0,1,NA
26934,201003,0,1,0.692
8980,201003,0,1,NA
38566,201003,0,1,NA
42104,201003,0,1,0.371
14528,201003,0,1,0.634
26618,201003,0,1,NA
25532,201003,0,1,NA
39990,201003,0,1,0.569
14048,201003,0,1,0.164
39942,201003,0,1,0.141
14522,201003,0,1,0.333
22284,201003,0,1,0.677
39634,201003,0,1,0.783
39548,201003,0,1,NA
37296,201003,0,1,NA
39530,201003,0,1,NA
30308,201003,0,1,NA
13574,201003,0,1,NA
38052,201003,0,1,NA
38038,201003,0,1,0.443
38028,201003,0,1,NA
25962,201003,0,1,0.498
18112,201003,0,1,NA
23772,201003,0,1,0.364
38712,201003,0,1,0.452
41818,201003,0,1,NA
28226,201003,0,1,NA
41286,201003,0,1,0.427
13530,201003,0,1,NA
8854,201003,0,1,NA
42108,201003,0,1,0.296
25700,201003,0,1,NA
36908,201003,0,1,0.543
37294,201003,0,1,0.615
25628,201003,0,1,NA
40490,201003,0,1,0.552
21654,201003,0,1,NA
28492,201003,0,1,NA
31936,201003,0,1,0.386
40322,201003,0,1,0.432
30014,201003,0,1,0.472
40328,201003,0,1,0.561
23228,201003,0,1,0.667
33354,201004,0,0,0.486
26906,201004,0,0,NA
15444,201004,0,0,0.546
14556,201004,0,0,NA
40034,201004,0,0,0.321
29172,201004,0,0,0.614
28190,201004,0,0,0.628
32320,201004,0,0,0.549
12896,201004,0,0,NA
38046,201004,0,0,NA
13710,201004,0,0,NA
4448,201004,0,0,NA
8522,201004,0,0,NA
34890,201004,0,0,0.511
11390,201004,0,0,NA
9710,201004,0,0,NA
40076,201004,0,0,NA
14374,201004,0,0,NA
18494,201004,0,0,NA
33366,201004,0,0,NA
39490,201004,0,0,NA
40346,201004,0,0,0.453
38074,201004,0,0,NA
33278,201004,0,0,0.426
17172,201004,0,0,NA
10098,201004,0,0,0.555
38036,201004,0,0,NA
40174,201004,0,0,0.445
38552,201004,0,0,0.515
41332,201004,0,0,0.577
23742,201004,0,0,NA
37828,201004,0,0,NA
6278,201004,0,0,0.634
40334,201004,0,0,NA
37276,201004,0,0,0.808
27704,201004,0,0,0.48
29996,201004,0,0,NA
38862,201004,0,0,0.43
35006,201004,0,0,0.472
42140,201004,0,0,NA
14220,201004,0,0,0.79
28560,201004,0,0,NA
13980,201004,0,0,0.863
35822,201004,0,0,0.423
18502,201004,0,0,NA
39458,201004,0,0,0.375
37292,201004,0,0,0.556
31150,201004,0,0,0.565
17160,201004,0,0,0.66
7068,201004,0,0,NA
29248,201004,0,0,NA
37812,201004,0,0,NA
22022,201004,0,0,NA
40008,201004,0,0,0.58
17812,201004,0,0,NA
32804,201004,0,0,0.446
16422,201004,0,0,0.341
42146,201004,0,0,NA
23126,201004,0,0,NA
24146,201004,0,0,NA
35408,201004,0,0,NA
33128,201004,0,0,0.526
38842,201004,0,0,0.47
31136,201004,0,0,0.347
25258,201004,0,0,NA
39466,201004,0,0,0.49
25056,201004,0,0,NA
36288,201004,0,0,0.607
8834,201004,0,0,0.702
39478,201004,0,0,0.501
17058,201004,0,0,NA
21604,201004,0,0,NA
14382,201004,0,0,NA
6362,201004,0,0,NA
29024,201004,0,0,NA
28224,201004,0,0,0.544
42096,201004,0,0,0.356
37798,201004,0,0,0.16
39748,201004,0,0,NA
16594,201004,0,0,0.546
36314,201004,0,0,0.445
39164,201004,0,0,0.576
30002,201004,0,0,NA
16334,201004,0,0,0.823
39144,201004,0,0,0.228
12306,201004,0,0,NA
6364,201004,0,0,NA
39502,201004,0,0,NA
26634,201004,0,0,0.647
19470,201004,0,0,0.668
25864,201004,0,0,0.748
12426,201004,0,0,0.599
7720,201004,0,0,0.453
42152,201004,0,0,0.451
16424,201004,0,0,0.501
31888,201004,0,0,0.646
40162,201004,0,0,0.536
14384,201004,0,0,NA
19684,201004,0,0,NA
40456,201004,0,0,0.41
40336,201004,0,0,0.504
23136,201004,0,1,0.587
41818,201004,0,1,NA
38022,201004,0,1,NA
28492,201004,0,1,NA
14048,201004,0,1,0.549
26934,201004,0,1,0.792
29216,201004,0,1,NA
25532,201004,0,1,NA
7488,201004,0,1,NA
38038,201004,0,1,0.484
30972,201004,0,1,NA
14532,201004,0,1,NA
38712,201004,0,1,0.497
23228,201004,0,1,0.633
25520,201004,0,1,0.415
40192,201004,0,1,0.488
17722,201004,0,1,NA
24608,201004,0,1,0.291
8854,201004,0,1,NA
25700,201004,0,1,NA
37784,201004,0,1,NA
38040,201004,0,1,NA
40322,201004,0,1,0.427
30308,201004,0,1,NA
30014,201004,0,1,0.467
39096,201004,0,1,0.748
30006,201004,0,1,NA
39548,201004,0,1,NA
23772,201004,0,1,0.388
24324,201004,0,1,0.456
40472,201004,0,1,0.758
39634,201004,0,1,0.882
13530,201004,0,1,NA
10226,201004,0,1,NA
38018,201004,0,1,NA
39942,201004,0,1,0.324
39530,201004,0,1,NA
33350,201004,0,1,0.426
38290,201004,0,1,0.53
37804,201004,0,1,NA
38878,201004,0,1,0.537
41286,201004,0,1,0.473
31796,201004,0,1,NA
14528,201004,0,1,0.625
40444,201004,0,1,NA
26328,201004,0,1,NA
4942,201004,0,1,NA
31936,201004,0,1,0.422
38580,201004,0,1,0.698
39512,201004,0,1,NA
30448,201004,0,1,NA
40328,201004,0,1,0.556
40490,201004,0,1,0.595
25940,201004,0,1,NA
42108,201004,0,1,0.504
38042,201004,0,1,NA
38070,201004,0,1,NA
21710,201004,0,1,NA
38566,201004,0,1,0.352
37294,201004,0,1,0.679
16514,201004,0,1,0.457
29230,201004,0,1,0.717
29808,201004,0,1,NA
5614,201004,0,1,NA
41320,201004,0,1,0.435
40062,201004,0,1,0.777
16596,201004,0,1,0.628
10356,201004,0,1,0.656
14522,201004,0,1,0.318
32590,201004,0,1,NA
26618,201004,0,1,NA
37296,201004,0,1,NA
25638,201004,0,1,0.453
39990,201004,0,1,0.577
18112,201004,0,1,NA
40316,201004,0,1,0.442
24142,201004,0,1,NA
36494,201004,0,1,0.431
35344,201004,0,1,0.536
23622,201004,0,1,NA
21654,201004,0,1,NA
36032,201004,0,1,0.478
8980,201004,0,1,NA
41318,201004,0,1,NA
4122,201004,0,1,0.709
37840,201004,0,1,NA
22284,201004,0,1,0.66
17752,201004,0,1,NA
10822,201004,0,1,NA
19482,201004,0,1,NA
11868,201004,0,1,NA
12974,201004,0,1,0.648
14678,201004,0,1,NA
36908,201004,0,1,0.514
31292,201004,0,1,0.488
38052,201004,0,1,NA
25628,201004,0,1,NA
10794,201004,0,1,NA
28470,201004,0,1,NA
13574,201004,0,1,NA
17906,201004,0,1,0.506
42308,201004,0,1,0.373
36306,201004,0,1,NA
38898,201004,0,1,0.424
25962,201004,0,1,0.51
38028,201004,0,1,NA
28226,201004,0,1,NA
40164,201004,0,1,NA
15294,201004,0,1,NA
42104,201004,0,1,0.307
29024,201005,0,0,NA
14556,201005,0,0,NA
31150,201005,0,0,0.506
8522,201005,0,0,NA
18502,201005,0,0,NA
11390,201005,0,0,NA
42152,201005,0,0,0.405
6364,201005,0,0,NA
16594,201005,0,0,0.533
9710,201005,0,0,NA
6278,201005,0,0,0.643
7720,201005,0,0,0.572
40346,201005,0,0,0.383
26634,201005,0,0,0.575
19470,201005,0,0,0.485
23126,201005,0,0,NA
32320,201005,0,0,0.42
6362,201005,0,0,NA
31136,201005,0,0,0.393
17160,201005,0,0,0.645
16422,201005,0,0,0.375
14220,201005,0,0,0.732
37812,201005,0,0,NA
15444,201005,0,0,0.513
12426,201005,0,0,0.587
40162,201005,0,0,0.512
35006,201005,0,0,0.516
42140,201005,0,0,NA
42632,201005,0,0,0.066
40174,201005,0,0,0.529
24146,201005,0,0,NA
10098,201005,0,0,0.514
39458,201005,0,0,0.345
36314,201005,0,0,0.58
30002,201005,0,0,NA
35822,201005,0,0,0.36
29172,201005,0,0,0.549
39466,201005,0,0,0.452
42096,201005,0,0,0.329
42146,201005,0,0,NA
12306,201005,0,0,NA
33354,201005,0,0,0.515
34890,201005,0,0,0.404
39478,201005,0,0,0.397
7068,201005,0,0,NA
17172,201005,0,0,NA
25864,201005,0,0,0.538
26906,201005,0,0,NA
18494,201005,0,0,NA
29996,201005,0,0,NA
38862,201005,0,0,0.434
39502,201005,0,0,NA
40456,201005,0,0,0.672
14384,201005,0,0,NA
19684,201005,0,0,NA
39748,201005,0,0,NA
14374,201005,0,0,NA
28190,201005,0,0,0.48
22022,201005,0,0,NA
36288,201005,0,0,0.441
38842,201005,0,0,0.507
25258,201005,0,0,NA
37798,201005,0,0,0.447
38552,201005,0,0,0.397
16334,201005,0,0,0.698
17812,201005,0,0,NA
35408,201005,0,0,NA
