car_model,car_price,date,time,total_mileage,year,gear_type,fuel_type,url,city,area
"HB20 1.6 Premium - 2013! Muito inteiro, carro original!",47900.0,1 mar,15:11,121000.0,2013,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-premium-2013-muito-inteiro-carro-original-1147837577,Gravataí,São Vicente
Hyundai Hb20 1.0 UNIQUE 12V FLEX 4P MANUAL,57900.0,1 mar,15:07,48223.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-unique-12v-flex-4p-manual-1153331727,Porto Alegre,Navegantes
HB20 2015,44000.0,1 mar,15:07,110000.0,2015,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-2015-1153331507,Alvorada,Estância Grande
HB20 1.6 manual Confort 2014,47900.0,1 mar,14:54,124000.0,2014,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-manual-confort-2014-1153321086,Viamão,Tarumã
"Vendo HB20, 1.0 | 2013",38000.0,1 mar,14:45,97000.0,2013,Manual,Gasolina,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20-1-0-2013-1153317375,Porto Alegre,Petrópolis
Hyundai HB20 RSPEC 4P,62900.0,1 mar,14:20,67243.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-rspec-4p-1142033314,Novo Hamburgo,Pátria Nova
HB20 1.0 2019 Completo !! + de 5 mil abaixo da FIPE !!,49990.0,1 mar,14:13,71000.0,2019,Manual,Flex,https://rs.olx.com.br/regioes-de-caxias-do-sul-e-passo-fundo/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-2019-completo-de-5-mil-abaixo-da-fipe-1153297389,Caxias do Sul,Pio X
HB20 HATCH COMFORT 1.0 MANUAL 2017,51890.0,1 mar,13:59,110000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-hatch-comfort-1-0-manual-2017-1131142716,Cachoeirinha,Vila Regina
HB20 1.0 Comfort Plus,51900.0,1 mar,13:45,45000.0,2017,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-0-comfort-plus-1148458668,Parobé,Vila Regina
Hyundai HB20 Sense 1.0 Flex 12V Mec.,66900.0,1 mar,13:22,32683.0,2021,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-sense-1-0-flex-12v-mec-1153273181,Porto Alegre,São João
HYUNDAI HB20 2019/2020 1.0 12V FLEX SENSE MANUAL,61490.0,1 mar,13:07,70100.0,2020,Manual,Flex,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-2019-2020-1-0-12v-flex-sense-manual-1099888211,São Leopoldo,Scharlau
