Country_ISO,Country,Year,CO2_Capita,GDP_PPP,Income_Group
IND,India,2024,2.17365173535787,11159.9856476091,Lower Income
IDN,Indonesia,2024,2.86503978188758,16448.2755179559,Lower Income
IRN,"Iran, Islamic Rep.",2024,9.05329342087712,19873.8860853805,Lower Income
IRQ,Iraq,2024,5.18375227496016,14464.3186928173,Lower Income
IRL,Ireland,2024,6.03605774131313,130797.489686919,Higher Income
ISR,Israel,2024,5.78134023099134,55690.7391030986,Higher Income
ITA,Italy,2024,5.07573834102673,60881.3726392071,Higher Income
JAM,Jamaica,2024,2.84378384565939,12890.2660051472,Lower Income
JPN,Japan,2024,7.84242057238933,51685.038752551,Higher Income
JOR,Jordan,2024,2.0898692239058,10821.4909765317,Lower Income
KAZ,Kazakhstan,2024,12.5678187536661,40890.9317694408,Higher Income
KEN,Kenya,2024,0.38344092060836,6644.13093243895,Lower Income
KIR,Kiribati,2024,0.592485763986976,3702.32594703115,Lower Income
KOR,"Korea, Rep.",2024,11.3622569893006,58894.9975738434,Higher Income
KWT,Kuwait,2024,23.6726718577295,52443.5969223626,Higher Income
KGZ,Kyrgyz Republic,2024,1.48784220370685,8012.45464442194,Lower Income
LAO,Lao PDR,2024,3.35435098295083,9775.82817381023,Lower Income
LVA,Latvia,2024,3.647774745944,43780.3830227833,Higher Income
LBN,Lebanon,2023,1.87387427333851,12574.8329116403,Lower Income
LSO,Lesotho,2024,0.428078272524913,3001.16311951334,Lower Income
LBR,Liberia,2024,0.154485706553412,1871.04406164262,Lower Income
LBY,Libya,2024,8.66457129316627,14303.8087736988,Lower Income
