firmid,wave,cty,country,sic,management,operations,monitor,target,people,lean1,lean2,perf1,perf2,perf3,perf4,perf5,perf6,perf7,perf8,perf9,perf10,talent1,talent2,talent3,talent4,talent5,talent6,emp_firm,firmage,ownership,mne_yn
9204,2012,sg,Singapore,28.0,2.05555558204651,1.0,2.59999990463257,2.40000009536743,1.66666662693024,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,100.0,11.0,Dispersed Shareholders,1.0
9205,2012,sg,Singapore,34.0,2.33333325386047,2.5,2.40000009536743,2.20000004768372,2.33333325386047,2.0,3.0,2.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,130.0,,"Family owned, family CEO",0.0
9206,2012,sg,Singapore,38.0,2.94444441795349,2.5,3.40000009536743,2.79999995231628,2.83333325386047,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,120.0,,"Founder owned, external CEO",0.0
9207,2012,sg,Singapore,39.0,2.61111116409302,3.0,2.40000009536743,2.59999990463257,2.66666674613953,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,250.0,,Private Individuals,1.0
9209,2012,sg,Singapore,36.0,3.88888883590698,5.0,4.40000009536743,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2000.0,,Private Individuals,1.0
9210,2012,sg,Singapore,32.0,3.27777767181396,2.5,3.40000009536743,3.59999990463257,3.16666674613953,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,400.0,11.0,Dispersed Shareholders,1.0
9211,2012,sg,Singapore,36.0,3.27777767181396,4.0,3.59999990463257,2.79999995231628,3.16666674613953,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,150.0,11.0,Dispersed Shareholders,0.0
9213,2012,sg,Singapore,37.0,2.27777767181396,1.0,3.0,2.59999990463257,1.83333337306976,1.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,180.0,,Private Individuals,0.0
9218,2012,sg,Singapore,37.0,3.83333325386047,4.0,4.0,3.79999995231628,3.66666674613953,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,400.0,,Private Individuals,0.0
9221,2012,sg,Singapore,34.0,3.16666674613953,4.0,3.79999995231628,2.79999995231628,2.66666674613953,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,125.0,,Private Individuals,0.0
9224,2012,sg,Singapore,32.0,2.88888883590698,1.0,3.20000004768372,3.0,3.16666674613953,1.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,100.0,,"Founder owned, founder CEO",0.0
9229,2012,sg,Singapore,36.0,2.94444441795349,3.5,2.59999990463257,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,600.0,,Private Individuals,1.0
9231,2012,sg,Singapore,38.0,3.44444441795349,3.5,3.79999995231628,3.59999990463257,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,200.0,,Dispersed Shareholders,1.0
9233,2012,sg,Singapore,38.0,3.0,3.0,3.40000009536743,2.59999990463257,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,1000.0,,Dispersed Shareholders,1.0
9235,2012,sg,Singapore,35.0,3.27777767181396,4.0,4.0,3.0,2.66666674613953,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,110.0,,Private Individuals,0.0
9238,2012,sg,Singapore,36.0,1.55555558204651,1.0,1.20000004768372,2.0,1.66666662693024,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1700.0,,Dispersed Shareholders,1.0
9240,2012,sg,Singapore,35.0,3.16666674613953,3.0,3.40000009536743,3.0,3.16666674613953,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,200.0,,"Founder owned, founder CEO",1.0
9242,2012,sg,Singapore,37.0,2.55555558204651,2.5,3.20000004768372,1.39999997615814,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,1360.0,,Dispersed Shareholders,0.0
9243,2012,sg,Singapore,37.0,2.5,2.5,2.79999995231628,2.0,2.66666674613953,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,100.0,,Private Individuals,0.0
9244,2012,sg,Singapore,37.0,2.66666674613953,3.0,2.20000004768372,3.20000004768372,2.5,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,100.0,,"Founder owned, founder CEO",0.0
9245,2012,sg,Singapore,36.0,4.44444465637207,5.0,4.80000019073486,4.80000019073486,3.66666674613953,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,205.0,,Dispersed Shareholders,1.0
9246,2012,sg,Singapore,35.0,2.27777767181396,1.0,2.40000009536743,2.0,2.83333325386047,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,300.0,,Private Individuals,0.0
9247,2012,sg,Singapore,39.0,2.88888883590698,1.0,3.0,3.59999990463257,2.83333325386047,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,402.0,,Private Individuals,0.0
9248,2012,sg,Singapore,37.0,2.22222232818604,3.0,2.0,2.40000009536743,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,270.0,,Private Individuals,0.0
9256,2012,sg,Singapore,37.0,2.66666674613953,3.0,3.0,2.40000009536743,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,130.0,,"Founder owned, founder CEO",0.0
9258,2012,sg,Singapore,37.0,2.27777767181396,1.0,2.40000009536743,2.59999990463257,2.33333325386047,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,1.0,200.0,,Private Individuals,0.0
9261,2012,sg,Singapore,37.0,2.66666674613953,1.0,3.59999990463257,2.79999995231628,2.33333325386047,1.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,3.0,3.0,120.0,,"Founder owned, founder CEO",0.0
9262,2012,sg,Singapore,37.0,3.61111116409302,4.5,3.79999995231628,3.40000009536743,3.33333325386047,5.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,500.0,5.0,"Family owned, family CEO",1.0
9264,2012,sg,Singapore,35.0,3.5,3.5,4.0,3.59999990463257,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,3.0,2600.0,,Dispersed Shareholders,1.0
9265,2012,sg,Singapore,34.0,3.44444441795349,3.0,4.19999980926514,3.40000009536743,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,400.0,,Dispersed Shareholders,1.0
9266,2012,sg,Singapore,25.0,3.33333325386047,4.0,3.40000009536743,3.0,3.33333325386047,4.0,4.0,3.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,160.0,,"Family owned, family CEO",0.0
9268,2012,sg,Singapore,38.0,2.83333325386047,3.0,3.0,2.79999995231628,2.66666674613953,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,250.0,,"Founder owned, founder CEO",0.0
9269,2012,sg,Singapore,35.0,2.94444441795349,4.0,3.0,3.0,2.5,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,860.0,,"Founder owned, external CEO",0.0
9272,2012,sg,Singapore,37.0,2.33333325386047,1.0,2.79999995231628,2.0,2.66666674613953,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,235.0,,Private Individuals,0.0
9273,2012,sg,Singapore,26.0,3.5,4.0,3.79999995231628,3.20000004768372,3.33333325386047,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,120.0,,Dispersed Shareholders,0.0
