time,year,month,country,countrycode,cpi_sa,cpi_yoy_nsa,exchange_rate_neer,exchange_rate_reer,exchnage_rate_vs_usd,ind_prod_const,ind_prod_const_sa
1991-10,1991,10,Philippines,PHL,33.70455106206,18.58033459596,151.89437577781,87.56327391947,26.50330445906,3782593135.0889,3346395356.79299
1991-10,1991,10,Chad,TCD,44.80046464132,-4.60987972201,,,288.15109851774,,
1991-10,1991,10,China,CHN,43.42729895352,4.89262454928,129.11146562043,83.77303197997,5.39173913043,280385721038.336,294330851887.491
1991-10,1991,10,United States,USA,63.08394026337,2.84857571214,82.24892609651,99.84848731587,1.0,174603192649.692,172151211303.606
1991-10,1991,10,Thailand,THA,53.84585616996,5.21841207544,,,25.53782608696,,
1991-10,1991,10,Cambodia,KHM,,,,,750.0,,
1991-10,1991,10,Papua New Guinea,PNG,,,228.98364179844,112.76367751272,0.98810149741,,
1991-10,1991,10,Brunei,BRN,80.61660223067,2.70217045079,,,1.68086117298,,
1991-11,1991,11,Philippines,PHL,33.91427225624,17.13212224503,152.13858864136,87.37100249531,26.11052631579,3728653198.59898,3340579816.60288
1991-11,1991,11,Papua New Guinea,PNG,,,227.79154870541,111.08176527674,0.98952366253,,
1991-11,1991,11,Vietnam,VNM,,,,,11610.6561360415,,
1991-11,1991,11,United States,USA,63.35981755315,3.06656694091,81.35130938758,98.13630026566,1.0,171544001628.498,171948990189.042
1991-11,1991,11,Singapore,SGP,76.16543622603,2.54586940893,79.45169796207,93.98026717405,1.67219047619,1617743519.8645,1628160776.36324
1991-11,1991,11,Myanmar,MMR,2.50008771082,27.53262016601,,,6.2118,,
1991-11,1991,11,China,CHN,43.57619358999,4.53942514031,127.01008041076,82.76343465455,5.39866666667,274193690391.049,288607880697.259
1991-11,1991,11,Brunei,BRN,80.81220048488,2.71188709628,,,1.65981069042,,
1991-11,1991,11,Thailand,THA,54.1110528493,4.77778908793,,,25.4919047619,,
1991-11,1991,11,Indonesia,IDN,14.92787026952,10.07304180767,,,1978.21052631579,19697796537.4121,18944500159.4724
